127.0.0.1 - - [15/Jul/2026 23:43:37] "HEAD /index.html HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 23:44:45] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 23:44:45] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 23:44:45] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 23:44:45] "GET /welcome.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 23:44:45] "GET /header.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 23:44:48] "GET /apropos.html HTTP/1.1" 200 -
127.0.0.1 - - [18/Jul/2026 12:05:20] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [18/Jul/2026 12:05:20] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [18/Jul/2026 12:05:20] "GET /welcome.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Jul/2026 12:05:20] "GET /header.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Jul/2026 12:05:20] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:07:59] "GET /signup.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:07:59] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:07:59] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:07:59] "GET /header.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:16:27] "GET /signup.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:16:27] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:16:27] "GET /header.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:16:27] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:16:56] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:16:56] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:16:56] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:16:56] "GET /header.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:16:56] "GET /welcome.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:16:59] "GET /apropos.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:17:34] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:17:34] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:17:34] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:17:34] "GET /header.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:17:34] "GET /welcome.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:18:06] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:18:06] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:18:06] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:18:06] "GET /welcome.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:18:06] "GET /header.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:18:08] "GET /tarifs.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 10:18:09] "GET /contact.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:32:53] "GET /signup.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:32:53] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:32:53] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:32:53] "GET /header.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:33:25] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:33:25] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:33:25] "GET /welcome.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:33:25] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:33:25] "GET /header.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:33:28] "GET /apropos.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:33:32] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:33:32] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:33:32] "GET /header.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:33:32] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:33:32] "GET /welcome.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:33:39] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:33:39] "GET /header.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:33:39] "GET /welcome.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:33:39] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:33:39] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:33:41] "GET /tarifs.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 22:33:42] "GET /contact.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:15:02] "GET /signup.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:15:02] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:15:02] "GET /header.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:15:02] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:15:50] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:15:50] "GET /welcome.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:15:50] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:15:50] "GET /header.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:15:50] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:15:53] "GET /apropos.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:15:57] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:15:57] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:15:57] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:15:57] "GET /welcome.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:15:57] "GET /header.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:16:03] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:16:03] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:16:03] "GET /script.js HTTP/1.1" 200 -
